teleport name is AB, map is 529, coordinates are 1054.94 1055.23 -48.2358, orientation is 0.313367.
teleport name is AbandonedArmory, map is 530, coordinates are -2068.19 7463.77 -18.9908, orientation is 5.21755.
teleport name is AbyssalSands, map is 1, coordinates are -7583.58 -3408.81 43.2019, orientation is 2.47556.
teleport name is AC, map is 558, coordinates are -21.8975 0.16 -0.1206, orientation is 6.28318.
teleport name is AccessShaftZeon, map is 530, coordinates are 3742.43 2083.64 148.765, orientation is 6.032.
teleport name is AddlesStead, map is 0, coordinates are -10964 240.019 28.5578, orientation is 2.99821.
teleport name is AeriePeak, map is 0, coordinates are 260.366 -2125.21 119.565, orientation is 3.18494.
teleport name is AerisLanding, map is 530, coordinates are -2059.85 8550.89 24.0587, orientation is 1.944.
teleport name is AgamaGor, map is 1, coordinates are -2020.72 -2107.58 91.9626, orientation is 5.49717.
teleport name is AgamandMills, map is 0, coordinates are 2799.46 847.549 111.842, orientation is 0.509892.
teleport name is AgmondsEnd, map is 0, coordinates are -7040.08 -3342.15 241.667, orientation is 0.82338.
teleport name is AgolWatha, map is 0, coordinates are 451.572 -3342.23 119.689, orientation is 0.772541.
teleport name is AlcazIsland, map is 1, coordinates are -2681.4 -4787.21 16.0751, orientation is 4.69276.
teleport name is AldorRise, map is 530, coordinates are -1746.58 5780.03 146.44, orientation is 1.30629.
teleport name is Aldrassil, map is 1, coordinates are 10405.3 883.631 1320.33, orientation is 0.102033.
teleport name is AlexstonFarmstead, map is 0, coordinates are -10656.1 1655 41.8732, orientation is 2.86155.
teleport name is AlgazStation, map is 0, coordinates are -4817.04 -2656.26 327.12, orientation is 4.68835.
teleport name is AllerianPost, map is 530, coordinates are -2593.73 3326.38 0.607573, orientation is 4.93171.
teleport name is AllerianStronghold, map is 530, coordinates are -2949.27 3958.32 0.285465, orientation is 1.37205.
teleport name is AltarOfShatar, map is 530, coordinates are -3053.96 828.896 -10.4689, orientation is 5.53466.
teleport name is AltarOfStorms, map is 0, coordinates are -7616.9 -744.571 190.288, orientation is 5.01897.
teleport name is AlteracMountains, map is 0, coordinates are 370.763 -491.355 175.361, orientation is 5.37858.
teleport name is AlteracValley, map is 30, coordinates are -215.738 -309.394 6.66761, orientation is 3.07325.
teleport name is AlteracValleyAlliance, map is 30, coordinates are 883.187 -489.375 96.7618, orientation is 3.06932.
teleport name is AlteracValleyHorde, map is 30, coordinates are -818.155 -623.043 54.0884, orientation is 2.15276.
teleport name is AlthersMill, map is 0, coordinates are -9194.3 -2748.93 88.8711, orientation is 1.84838.
teleport name is AmaniCatacombs, map is 530, coordinates are 7639.28 -7482.36 158.73, orientation is 1.63194.
teleport name is AmaniPass, map is 530, coordinates are 6849.17 -7747.52 122.016, orientation is 4.56069.
teleport name is Ambermill, map is 0, coordinates are -129.094 835.621 63.598, orientation is 4.83351.
teleport name is AmberstillRanch, map is 0, coordinates are -5537.72 -1336.54 398.664, orientation is 0.237343.
teleport name is AmberwebPass, map is 530, coordinates are -1566.43 -10800.1 51.7294, orientation is 0.885114.
teleport name is AmethAran, map is 1, coordinates are 5674.5 128.459 32.3476, orientation is 6.11808.
teleport name is AmmenFields, map is 530, coordinates are -4155.37 -13498.5 48.356, orientation is 5.92816.
teleport name is AmmenFord, map is 530, coordinates are -4260.24 -13021 1.0163, orientation is 5.35482.
teleport name is AmmenVale, map is 530, coordinates are -4021.4 -13582.1 54.7153, orientation is 2.06953.
teleport name is AncestralGrounds, map is 530, coordinates are -2145.99 8844.79 19.8449, orientation is 3.42056.
